Location,year,counts,offset,x1
eda1ed99,6,0,0.09025,154.33599284530965
f3fb7a0c,6,3,2.65087,49.592958541146224
feb5d49b,6,3,0.35177,373.9046479656623
9bd1560c,6,0,0.00738,678.42605156038
6a97c123,6,0,0.00669,0
47235d1f,6,0,0.35722,33.46471337678601
14a06ce1,6,0,0.00531,185.87360594795538
89c9d5ba,6,0,0.08018,360.8485372806134
802bcd6f,6,1,0.05147,134.56362937331795
b5f1a762,6,0,0.03787,182.19677251431546
f89b93ae,6,0,0.07182,41.58004158004157
352ce11a,6,0,0.04872,82.08495793145906
e27e8033,6,0,0.15525,77.51025226885687
1778258c,6,0,0.02907,101.91203238586012
954f2cb4,6,1,0.03134,454.25048669695
cb173123,6,2,0.09535,469.5754255527294
ce5d1ed1,6,0,0.07477,91.92383453709783
118e2f5e,6,0,0.30658,146.17829349350754
bb345b03,6,0,0.05466,397.8140782920763
d7a280be,6,1,0.11351,326.393789696542
5b08009a,6,0,0.08879,22.3488657950609
638a036c,6,0,0.01597,250
a8cdc2c2,6,0,0.14206,168.9378284888388
6e97cded,6,2,1.36339,9.13397770617873
c3885694,6,2,0.20248,104.54619666566975
f4cdaee1,6,2,0.36278,137.06751527959992
377480be,6,1,0.16681000000000001,151.25046428956395
19deb977,6,0,0.05851,154.05682985279014
211eb2ae,6,0,0.03255,434.51272501551836
ab95b70d,6,0,0.01438,0
f526a4e0,6,0,0.06426,0
ecc34c2e,6,0,0.05495,407.3667656823344
e3e35fdb,6,0,0.00664,290.27576197387515
df31f97d,6,0,0.06943,14.31229426077
e769f6fe,6,1,0.04482,480.6290605745388
5bc8b302,6,0,0.19589,66.69794942877918
79e354b2,6,0,0.09612,30.98964723428425
ff84071f,6,1,0.03949,202.42914979757086
a6484004,6,0,0.00811,122.6993865030675
20760acb,6,0,0.13952,239.7771060221283
52fd31d7,7,18,0.30987,423.5170152463254
3421b03c,7,1,0.06994,41.82933630786391
ff529e8f,7,1,0.00731,0
c304b52e,7,0,0.00492,366.9724770642202
ca72fd20,7,2,0.05746,457.8529839559976
6028e7b7,7,3,0.11422,110.93096680604147
fdb23048,7,0,0.02219,217.01388888888889
0f7c71d8,7,4,0.03329,431.2823461759632
34fe95a5,7,13,0.44131,411.55887071617656
11184bca,7,1,0.07225,81.1771655621422
aadc708f,7,2,0.08479,126.20468104635154
45e05b54,7,0,0.2517,16.0953693401668
056f421c,7,0,0.0924,32.174701396639684
525214eb,7,0,0.03983,807.9942193452923
a33682bf,7,1,0.06039,265.2329772663943
be428bac,7,4,0.10125,50.32712632108707
8f3fe004,7,5,0.06669,554.016620498615
88d245ba,7,0,0.10238,124.54145666584243
72cd92d3,7,5,0.09642,81.23423933649251
a06de818,7,2,0.11248,614.1792363726315
d531f652,7,0,0.20191,4.880905896134323
7778c917,7,0,0.09087,21.49151085321298
205e19b2,7,5,0.24085,380.6436425169055
9a312f28,7,2,0.01999,394.72065388855395
0eb837a8,7,0,0.05961,16.711229946524064
0f9ed4e2,7,4,0.36442,102.2646438018342
c2be3453,7,13,4.88114,14.48700068562296
e24cd8b8,7,0,0.02091,322.5806451612903
550e54c5,7,3,0.06126,361.0108303249097
156ec693,7,1,0.03425,348.10295570448295
cf35c6c5,7,0,0.02944,268.26534607699375
14298a4c,7,3,0.05051,518.6925199970084
5e125303,7,2,0.22866,147.48586907469345
21255d80,7,0,0.02111,781.25
55a7fd48,7,0,0.01969,826.4462809917355
a4728441,7,0,0.0211,235.6875334403424
acd4504e,7,1,0.00676,143.47202295552367
8ccec174,7,0,0.02577,300.52592036063106
a4a399e0,7,6,0.54535,266.6571982027873
d4270efc,7,6,0.09269,588.4221375034173
957796e0,7,1,0.03558,511.75025200460453
78ce3bab,7,0,0.01051,274.72527472527474
60760148,7,0,0.02954,328.0950106275678
5eac0b24,7,1,0.10839,316.8451101911229
5cafec9f,7,0,0.0074400000000000004,271.37042062415196
ad8153f8,7,0,0.06432,169.10133473350066
78eaa11e,7,1,0.08025,122.59409096481549
1f9012d1,7,0,0.05257,98.69695356994559
8d66d502,7,2,0.06698,500.13004464866265
1a1685ad,7,5,0.08418,423.0277169366987
afbc2e22,7,0,0.00904,521.0948718626389
2e23216d,7,0,0.03925,353.5353535353535
eda1ed99,7,2,0.08897,154.33599284530965
f3fb7a0c,7,7,2.68868,50.724662472308445
feb5d49b,7,2,0.35577,382.4329477069706
9bd1560c,7,1,0.00747,678.42605156038
6a97c123,7,0,0.00652,0
47235d1f,7,3,0.35631,33.46471337678601
14a06ce1,7,0,0.00522,185.87360594795538
89c9d5ba,7,0,0.07904,360.8485372806134
802bcd6f,7,4,0.0511,153.99242284524334
b5f1a762,7,1,0.03831,182.19677251431546
f89b93ae,7,0,0.07252,41.58004158004157
352ce11a,7,2,0.04796,82.08495793145906
e27e8033,7,0,0.15607,77.51025226885687
1778258c,7,0,0.02884,101.91203238586012
954f2cb4,7,0,0.03145,486.1585913555333
cb173123,7,3,0.09402,490.5507795118275
ce5d1ed1,7,1,0.07508,91.92383453709783
118e2f5e,7,8,0.30865,146.17829349350754
bb345b03,7,2,0.05473,397.8140782920763
d7a280be,7,0,0.11219,335.203586190243
5b08009a,7,0,0.08799,22.3488657950609
638a036c,7,0,0.01557,250
a8cdc2c2,7,3,0.14136,168.9378284888388
6e97cded,7,3,1.40239,10.600909398504475
c3885694,7,1,0.2046,114.42371543295542
f4cdaee1,7,15,0.36277,142.58049835474188
377480be,7,0,0.16601,157.24530872335092
19deb977,7,5,0.05726,154.05682985279014
211eb2ae,7,0,0.03239,434.51272501551836
ab95b70d,7,0,0.01437,0
f526a4e0,7,0,0.06376,0
ecc34c2e,7,0,0.05454,407.3667656823344
e3e35fdb,7,0,0.00661,290.27576197387515
df31f97d,7,0,0.07009,14.31229426077
e769f6fe,7,0,0.04395,502.94052866913944
5bc8b302,7,1,0.19861,66.69794942877918
79e354b2,7,0,0.09654,30.98964723428425
ff84071f,7,1,0.03902,227.75201634606415
a6484004,7,0,0.00832,122.6993865030675
20760acb,7,5,0.14021,239.7771060221283
52fd31d7,8,9,0.3091,481.6058912265752
3421b03c,8,0,0.06836,56.127305996168175
ff529e8f,8,0,0.00733,136.79890560875515
c304b52e,8,0,0.00493,366.9724770642202
ca72fd20,8,2,0.05623,492.65980609313647
6028e7b7,8,0,0.11338,137.19606923994095
fdb23048,8,0,0.02143,217.01388888888889
0f7c71d8,8,5,0.03319,551.4385492399464
34fe95a5,8,28,0.44645,441.0166215036049
11184bca,8,0,0.07122,95.0179960119692
aadc708f,8,1,0.08396,149.7923682736189
45e05b54,8,0,0.2524,16.0953693401668
056f421c,8,0,0.0906,32.174701396639684
525214eb,8,3,0.03965,807.9942193452923
a33682bf,8,0,0.05927,281.79201021886985
be428bac,8,0,0.09943,89.83329916059324
8f3fe004,8,4,0.06609,628.9903796829005
88d245ba,8,2,0.09993,124.54145666584243
72cd92d3,8,4,0.0944,133.09070065157235
a06de818,8,2,0.1109,631.9601752062019
d531f652,8,0,0.20295,4.880905896134323
7778c917,8,0,0.0904,21.49151085321298
205e19b2,8,9,0.24291,401.40345152666265
9a312f28,8,0,0.01969,494.7706789010602
0eb837a8,8,1,0.05987,16.711229946524064
0f9ed4e2,8,7,0.36597,113.24098977625931
c2be3453,8,24,4.93757,17.15031294464442
e24cd8b8,8,0,0.02051,322.5806451612903
550e54c5,8,2,0.06053,409.98242679895475
156ec693,8,1,0.03352,377.30003599645374
cf35c6c5,8,1,0.02879,268.26534607699375
14298a4c,8,3,0.05016,578.0866993674301
5e125303,8,3,0.22875,156.2324797630517
21255d80,8,0,0.0212,781.25
55a7fd48,8,1,0.01984,826.4462809917355
a4728441,8,1,0.02075,235.6875334403424
acd4504e,8,0,0.00677,291.4010170383639
8ccec174,8,0,0.02578,300.52592036063106
a4a399e0,8,12,0.5519,277.6593069402953
d4270efc,8,8,0.09196,653.1540395424721
957796e0,8,2,0.03522,539.8559293514286
78ce3bab,8,0,0.00994,274.72527472527474
60760148,8,1,0.02956,328.0950106275678
5eac0b24,8,5,0.10613,326.0710535438307
5cafec9f,8,0,0.00751,271.37042062415196
ad8153f8,8,2,0.06357,169.10133473350066
78eaa11e,8,0,0.0797,135.05515015484664
1f9012d1,8,0,0.05257,98.69695356994559
8d66d502,8,7,0.06614,529.9897042485433
1a1685ad,8,5,0.08381,482.4242481792742
afbc2e22,8,0,0.00892,521.0948718626389
2e23216d,8,0,0.03879,353.5353535353535
eda1ed99,8,0,0.08846,176.81548031299536
f3fb7a0c,8,15,2.72286,53.328170513428994
feb5d49b,8,17,0.35973,388.05455717376094
9bd1560c,8,0,0.00756,812.2948601279837
6a97c123,8,0,0.00635,0
47235d1f,8,6,0.35415,41.884347964644896
14a06ce1,8,0,0.00518,185.87360594795538
89c9d5ba,8,2,0.07813,360.8485372806134
802bcd6f,8,4,0.0509,232.27030934230794
